;Nome;Classe;Bolsa / Fonte;Tipo de Ativo;"Ativo /
Cancelado";Código;"Participação
no Ibovespa

em %";"Segmento listagem
Bovespa";Subsetor Bovespa;"Data do Bal
 do pri balanco
 consolid:sim*";BETA_2013;BETA_2014;BETA_2015;BETA_2016;BETA_2017;BETA_2018
33;Viavarejo;ON;Bovespa;Ação;ativo;VVAR3;0,496;Novo Mercado;Comércio;31/12/1994;0,8144146;0,7611384;0,4329501;1,2627347;2,0420330;1,5506106
34;Cosan;ON;Bovespa;Ação;ativo;CSAN3;0,483;Novo Mercado;Petróleo, gás e biocombustíveis;30/04/2005;0,6044702;1,2557334;1,4908148;0,5014312;0,8760299;0,3735034
35;Sid Nacional;ON;Bovespa;Ação;ativo;CSNA3;0,477;Tradicional;Siderurgia e metalurgia;31/12/1988;2,3693615;0,7239384;3,2015000;3,3125447;2,8369563;1,2967421
36;Braskem;PNA;Bovespa;Ação;ativo;BRKM5;0,431;Nível 1;Químicos;31/12/1986;0,5149058;0,4889640;0,9458491;0,3256731;0,3906321;-0,0430675
37;Multiplan;ON;Bovespa;Ação;ativo;MULT3;0,421;Nível 2;Exploração de imóveis;31/03/2007;0,5187468;1,0471131;0,5618889;0,5988989;0,6104081;0,9641229
38;Fleury;ON;Bovespa;Ação;ativo;FLRY3;0,419;Novo Mercado;Serviços médico-hospitalares, análises e diagnósticos;31/12/2008;0,2077984;0,1046520;0,4463846;1,0588686;0,7176118;0,1555623
39;Qualicorp;ON;Bovespa;Ação;ativo;QUAL3;0,401;Novo Mercado;Serviços médico-hospitalares, análises e diagnósticos;31/03/2011;0,9948932;0,8260304;1,1930841;0,5590466;0,1995011;0,9132387
40;Bradespar;PN;Bovespa;Ação;ativo;BRAP4;0,400;Nível 1;Mineração;31/03/2000;1,2488701;0,4790707;1,5757061;2,5425625;1,9703051;0,7922516
41;Cyrela Realt;ON;Bovespa;Ação;ativo;CYRE3;0,366;Novo Mercado;Construção civil;30/06/1996;0,7939563;0,8644679;0,3930591;0,9893161;2,1556714;1,3432144
42;Taesa;UNT N2;Bovespa;Ação;ativo;TAEE11;0,341;Nível 2;Energia elétrica;30/06/2006;0,3110978;0,7695200;0,2740979;0,5054984;-0,1019594;0,2978923
43;Energias BR;ON;Bovespa;Ação;ativo;ENBR3;0,312;Novo Mercado;Energia elétrica;31/12/2002;0,8375843;1,1872458;0,8176974;0,3836421;0,4817033;0,1077232
44;MRV;ON;Bovespa;Ação;ativo;MRVE3;0,292;Novo Mercado;Construção civil;31/12/2006;1,3858058;0,9647944;0,7486000;1,0076417;1,1034504;0,4206106
45;Gol;PN;Bovespa;Ação;ativo;GOLL4;0,260;Nível 2;Transporte;31/12/2002;2,8785201;0,7922684;0,6997511;2,6407725;3,0499512;3,3485803
46;Marfrig;ON;Bovespa;Ação;ativo;MRFG3;0,251;Novo Mercado;Alimentos processados;31/12/2004;-1,1299917;0,9244108;-0,0170195;0,1144618;0,4187279;0,5714976
47;Iguatemi;ON;Bovespa;Ação;ativo;IGTA3;0,223;Novo Mercado;Exploração de imóveis;31/12/2005;1,0069502;0,9025867;0,7078879;0,5632690;0,6793489;1,2041400
48;Usiminas;PNA;Bovespa;Ação;ativo;USIM5;0,220;Nível 1;Siderurgia e metalurgia;31/12/1987;1,8802233;0,9771163;2,5165646;4,3556797;2,3488303;2,3181905
49;Gerdau Met;PN;Bovespa;Ação;ativo;GOAU4;0,210;Nível 1;Siderurgia e metalurgia;31/12/1986;1,1878621;0,6026081;1,3782892;3,5405021;1,4968589;1,2038432
50;Ecorodovias;ON;Bovespa;Ação;ativo;ECOR3;0,134;Novo Mercado;Transporte;30/06/2003;0,3150189;0,9458334;0,4514064;1,1638671;0,1870719;1,2173455
